Country/Region,Lat,Long,confirmed,death,recovered,active
Afghanistan,25895.54093,51662.694139,56678550,2468849,18289880.0,35919821.0
Albania,31399.9679,15388.4129,67915783,1135966,22652652.0,44127165.0
Algeria,21389.8657,1266.2748,80626468,2288254,25670233.0,52667981.0
Andorra,32432.306900000003,1161.1334,7514500,67813,3085649.0,4361038.0
Angola,-8547.660100000001,13637.785699999999,21178603,504599,5895800.0,14778204.0
Antarctica,-54897.7737,17813.761000000002,781,0,0.0,781.0
Antigua and Barbuda,13017.3904,-47150.6532,1037840,26170,191813.0,819857.0
Argentina,-29311.4843,-48539.5421,1999271562,41882866,711610324.0,1245778372.0
Armenia,30572.723299999998,34364.1466,120452360,2414872,51634388.0,66403100.0
Australia,-195976.7026,862833.8957,147839087,748247,8821094.0,138269746.0
Austria,36254.8606,11101.7263,368276008,4872258,131744371.0,231659379.0
Azerbaijan,30629.185299999997,36301.1747,185935808,2515220,68764706.0,114655882.0
Bahamas,19094.750255,-59541.383307,7773619,185522,2484156.0,5103941.0
Bahrain,19858.9825,38569.65,112259770,493225,48612087.0,63154458.0
Bangladesh,18071.655,68941.8569,549054257,8966805,190856309.0,349231143.0
Barbados,10066.9457,-45431.4616,5191595,44856,692334.0,4454405.0
Belarus,40980.5774,21328.444199999998,219344186,1683021,88191538.0,129469627.0
Belgium,38785.8079,3410.5611679999997,620042941,13417535,3797810.0,602827596.0
Belize,13115.8937,-67523.6688,9336719,182017,2947228.0,6207474.0
Benin,7101.775100000001,1766.9553999999998,6471693,56973,1723986.0,4690734.0
Bhutan,20993.3346,69000.8368,993411,871,294915.0,697625.0
Bolivia,-12429.4226,-48518.178100000005,209621139,8002454,69896258.0,131722427.0
Bosnia and Herzegovina,33507.8317,13489.153299999998,99437364,4271224,35933408.0,59232732.0
Botswana,-17036.6455,18834.5787,50842899,626509,9700789.0,40515601.0
Brazil,-10861.305,-39619.0039,8424680830,229992609,3412350387.0,4782337834.0
Brunei,3460.4339000000004,87537.2351,2493566,15458,82751.0,2395357.0
Bulgaria,32605.965699999997,19445.6654,218546417,8654537,68475929.0,141415951.0
Burkina Faso,9337.822900000001,-1191.5008,6443290,99189,2924007.0,3420094.0
Burma,16722.0606,73214.428,138802900,4547493,34256258.0,99999149.0
Burundi,-2573.6753,22828.1207,5403175,9191,249099.0,5144885.0
Cabo Verde,12619.104399999998,-17580.893399999997,14525502,127233,5686352.0,8711917.0
Cambodia,8812.65,80051.4421,27338089,583864,3660787.0,23093438.0
Cameroon,2936.024,8776.1023,37140206,620882,10896314.0,25623010.0
Canada,540856.8228,-917582.1977,690918740,13434543,0.0,677484197.0
Central African Republic,5044.2693,15976.7622,4668251,49718,1529613.0,3088920.0
Chad,11791.5546,14292.668599999999,2351348,89213,1091049.0,1171086.0
Chile,-27220.101300000002,-54587.30900000001,704397605,15630524,316380403.0,372386678.0
China,828078.0249,2814659.4651,73169948,3439885,44912037.0,24818026.0
Colombia,3487.5967,-56688.839900000006,1844871935,47095665,735029503.0,1062746767.0
Comoros,-8885.5165,33063.3079,1902654,59869,774724.0,1068061.0
Congo (Brazzaville),-173.964,12076.535100000001,6768706,105124,2439213.0,4224369.0
Congo (Kinshasa),-3081.2228999999998,16601.8881,21972293,456894,6871642.0,14643757.0
Costa Rica,7438.4107,-63903.8442,186268205,2296450,55496121.0,128475634.0
Cote d'Ivoire,5753.02,-4232.4373000000005,25583218,208431,11756813.0,13617974.0
Croatia,34411.3,11597.6,194015807,3733800,70509798.0,119772209.0
Cuba,16421.100591000002,-59347.030420999996,206031986,1702374,23926231.0,180403381.0
Cyprus,26801.443199999998,25507.013700000003,45182258,191739,5113971.0,39876548.0
Czechia,38010.7525,11805.899000000001,785407146,12700247,317365660.0,455341239.0
Denmark,144865.7742,-30530.910900000003,214003282,1294208,57832579.0,154876495.0
Diamond Princess,0.0,0.0,525460,9249,340257.0,175954.0
Djibouti,9022.551300000001,32496.3989,5876521,72106,2987544.0,2816871.0
Dominica,11761.644999999999,-46826.073000000004,1107483,6170,41026.0,1060287.0
Dominican Republic,14295.339100000001,-53534.140100000004,162634728,1939808,62636404.0,98058516.0
Ecuador,-1397.2056,-59653.9342,219055267,12848605,89535763.0,116670899.0
Egypt,20464.081939,23502.305974,139578029,7862185,51654262.0,80061582.0
El Salvador,10524.9746,-67828.0295,43039614,1306428,17603810.0,24129376.0
Equatorial Guinea,1259.5604,7834.4077,5117642,70329,2213717.0,2833596.0
Eritrea,11581.8822,30353.8949,2433134,15016,799117.0,1619001.0
Estonia,44708.2139,19085.376800000002,67241587,554467,19741545.0,46945575.0
Eswatini,-20236.6675,24008.4817,15332171,402533,4163661.0,10765977.0
Ethiopia,6977.634999999999,30893.6411,135965815,2167376,48046171.0,85752268.0
Fiji,-13515.324200000001,135863.595,11327837,136246,176313.0,11015278.0
Finland,47248.095929999996,19645.839213,68217068,571455,11629672.0,56015941.0
France,58830.042985,-90091.69348199997,3274473144,54704451,96506536.0,3123262157.0
Gabon,-613.2230999999999,8857.9722,13180250,86146,5266985.0,7827119.0
Gambia,10257.1616,-11681.6063,3754933,119128,1452162.0,2183643.0
Georgia,32286.650199999996,33081.3147,241636773,3232341,71433919.0,166970513.0
Germany,39039.422233000005,7974.514338,2026368116,40140874,695248246.0,1290978996.0
Ghana,6063.1795,-780.7016000000001,54312468,441635,25893775.0,27977058.0
Greece,29813.614599999997,16651.9409,284358850,5832021,24659121.0,253867708.0
Grenada,9244.8895,-47061.077000000005,1260990,30722,39038.0,1191230.0
Guatemala,12042.8105,-68846.1004,184444855,5156533,57897895.0,121390427.0
Guinea,7588.492800000001,-7398.5058,12848880,118217,5848704.0,6881959.0
Guinea-Bissau,9006.2231,-11582.6452,2532242,48391,958459.0,1525392.0
Guyana,3708.4974079999997,-44963.72734,11212875,267322,2964263.0,7981290.0
Haiti,14475.025599999999,-55153.6076,9693233,247493,3591192.0,5854548.0
Holy See,31971.9127,9501.9442,15787,0,7042.0,8745.0
Honduras,11597.6,-65802.56970000001,133527333,3567064,21669283.0,108290986.0
Hungary,35984.9875,14881.017899999999,371018853,12271631,111425995.0,247321227.0
Iceland,49566.8453,-14512.870400000002,7689941,17468,2058185.0,5614288.0
India,15712.980892,60248.67744,12402585333,164812155,4859387857.0,7378385321.0
Indonesia,-602.2359,86921.9519,1286156876,40434009,363942501.0,881780366.0
Iran,24742.493804,40963.979098,1798513431,46369511,522325591.0,1229818329.0
Iraq,25349.294733,33327.299033,693252210,9532664,250454579.0,433264967.0
Ireland,40547.6512,-5869.0723,189713341,2545428,10712302.0,176455611.0
Israel,23688.136913,26591.779956000002,529005876,3225685,198086041.0,327694150.0
Italy,31948.290220000003,9588.91094,2172748306,61874837,759237934.0,1351635535.0
Jamaica,13817.6248,-58977.9925,27567202,614974,5428535.0,21523693.0
Japan,27624.280712000003,105486.981012,530491236,6195410,129683074.0,394612752.0
Jordan,23836.12,27857.129999999997,337322853,4104487,128718145.0,204500221.0
Kazakhstan,36638.9548,51062.7831,314548061,4921080,91195356.0,218431625.0
Kenya,-18.0068,28922.4306,94057427,1772801,29850411.0,62434215.0
Kiribati,-2571.6152,-128744.042,48916,90,0.0,48826.0
"Korea, South",27397.618591,97486.161486,139689145,1286221,28219140.0,110183784.0
Kosovo,32505.811267999998,15948.971451,56164208,1117141,20280591.0,34766476.0
Kuwait,22364.79658,36228.587458,166280442,950977,72140011.0,93189454.0
Kyrgyzstan,31438.94194,57046.532774,68499268,1111127,28445567.0,38942574.0
Laos,15150.334009999999,78204.063448,13596907,41529,167935.0,13387443.0
Latvia,43399.1348,18772.2416,74727177,1186255,21700606.0,51840316.0
Lebanon,25831.1361,27362.934899999997,251206810,3150750,90560589.0,157495471.0
Lesotho,-22592.43,21542.2368,7068430,186861,1187899.0,5693670.0
Liberia,4904.605965,-7194.707737,2081705,92842,641874.0,1346989.0
Libya,20093.6813,13145.216553,117106331,1729480,35980071.0,79396780.0
Liechtenstein,35967.82,7286.650000000001,1779744,26200,663464.0,1090080.0
Lithuania,42094.2522,18221.4319,147815220,2104656,48664190.0,97046374.0
Luxembourg,38009.0739,4676.8848,37018503,377782,15506143.0,21134578.0
MS Zaandam,0.0,0.0,6245,1386,1715.0,3144.0
Madagascar,-14319.180561,35761.128641,19028824,370543,8729202.0,9929079.0
Malawi,-10113.0309,26172.044499999996,21506511,719996,6286177.0,14500338.0
Malaysia,3212.599292,77807.509458,595976381,6032057,94234855.0,495709469.0
Maldives,2443.7364,55867.3941,30142553,80513,8915069.0,21146971.0
Mali,13406.437996,-3049.074658,7174984,246984,2293142.0,4634858.0
Malta,27420.3125,10968.4302,15844201,187182,6085906.0,9571113.0
Marshall Islands,5441.3345,130613.77350000001,2024,0,1000.0,1024.0
Mauritania,16029.027699999999,-8347.830399999999,13884327,298181,5034392.0,8551754.0
Mauritius,-15525.832251999998,43912.291976,8504628,85103,302234.0,8117291.0
Mexico,18033.123499999998,-78247.7864,1428826515,116478794,498203576.0,814144145.0
Micronesia,5665.7328,114870.26040000001,398,0,188.0,210.0
Moldova,36175.0508,21646.2337,130365758,3093738,54660386.0,72611634.0
Monaco,33368.5079,5658.942099999999,1468565,14130,497393.0,957042.0
Mongolia,35756.0875,79235.0321,121758985,381346,8101267.0,113276372.0
Montenegro,32586.721314,14782.659569999998,53370761,760939,19606031.0,33003791.0
Morocco,24257.0671,-5411.6538,334457516,5331499,132346459.0,196779558.0
Mozambique,-14241.925285,27109.055806,49869615,568318,0.0,49301297.0
Namibia,-17516.6488,14108.175200000001,41349003,935020,11919127.0,28494856.0
Nepal,21491.1921,64282.75,276935379,3466392,98893289.0,174575698.0
Netherlands,81674.7246,-202164.7089,931803254,9377054,5133479.0,917292721.0
New Zealand,-47410.7599,11527.63289999999,3047497,19249,964499.0,2063749.0
Nicaragua,9816.312408,-65013.115727,5628607,109597,1567987.0,3951023.0
Niger,13434.743007000001,6166.311158,2811811,104753,1242042.0,1465016.0
Nigeria,6929.566000000001,6619.2539,88854712,1205365,39492087.0,48157260.0
North Macedonia,31747.361800000002,16591.6639,77190258,2577341,29421904.0,45191013.0
Norway,46140.136,6461.7707,97885447,437989,6420117.0,91027341.0
Oman,16414.100829,42669.443565,123495978,1469009,54426196.0,67600773.0
Pakistan,23176.3539,52910.3113,488850611,10694522,206507371.0,271648718.0
Palau,5733.945,102686.44750000001,77193,47,0.0,77146.0
Panama,6514.494000000001,-61636.7423,204840998,3235161,90821411.0,110784426.0
Papua New Guinea,-4818.339659,109838.08464999999,7918190,104502,1682469.0,6131219.0
Paraguay,-17886.6275,-44592.6194,164176124,4989190,54844740.0,104342194.0
Peru,-7011.969999999999,-57236.597599999994,983360317,88881312,458397918.0,436081087.0
Philippines,9827.227123,92913.574971,811406151,13703798,232764917.0,564937436.0
Poland,39614.5022,14607.711299999999,1300601368,31345924,487412435.0,781843009.0
Portugal,30062.1237,-6275.293500000001,492474328,7735804,177063502.0,307675022.0
Qatar,19345.7124,39053.3157,120071264,254407,63777386.0,56039471.0
Romania,35054.6616,19049.6684,577418172,16710197,221738944.0,338969031.0
Russia,46942.81963,80358.210828,3146497124,78171490,1128064202.0,1940261432.0
Rwanda,-1480.4488999999999,22793.7857,27651636,339659,5410715.0,21901262.0
Saint Kitts and Nevis,13244.018186,-47903.427474,613916,4490,27865.0,581561.0
Saint Lucia,10612.8722,-46526.900700000006,3531692,61076,793932.0,2676684.0
Saint Vincent and the Grenadines,9907.0209,-46762.1336,1388838,13589,311239.0,1064010.0
Samoa,-10498.117,-131315.80980000002,2197,0,561.0,1636.0
San Marino,33528.0512,9505.3014,2680402,49018,1076072.0,1555312.0
Sao Tome and Principe,142.22320000000002,5045.7953,1421624,21102,562180.0,838342.0
Saudi Arabia,18224.973746,34395.400605999996,272387694,4156052,146131996.0,122099646.0
Senegal,11061.5162,-11027.1812,26391092,642355,9755165.0,15993572.0
Serbia,33584.5895,16027.5017,382474092,3564777,735730.0,378173585.0
Seychelles,-3570.5348,42340.396,6716906,31361,1469023.0,5216522.0
Sierra Leone,6455.403464999999,-8988.055307,2725647,58571,968250.0,1698826.0
Singapore,979.1579,79224.8079,69599782,112226,24305668.0,45181888.0
Slovakia,37134.447,15030.337000000001,378467922,5060857,56875095.0,316531970.0
Slovenia,35213.365600000005,11441.566499999999,138480565,2014182,48133031.0,88333352.0
Solomon Islands,-7359.6691,122199.1806,106560,1150,3913.0,101497.0
Somalia,3931.0896869999997,35250.307007999996,7621199,380708,1699780.0,5540711.0
South Africa,-23316.8985,17501.3125,1108343445,32385914,433216733.0,642740798.0
South Sudan,5247.151,23887.240999999998,5184725,58729,2035590.0,3090406.0
Spain,30873.777921,-2860.65486,2153501660,42300474,71183831.0,2040017355.0
Sri Lanka,6007.140202,61628.881111,140886789,2936288,28768450.0,109182051.0
Sudan,9814.3164,23056.0288,19006652,1308148,6975936.0,10722568.0
Summer Olympics 2020,27200.2633,106647.33309999999,169988,0,0.0,169988.0
Suriname,2990.4258999999997,-42749.2114,13569776,287049,3106687.0,10176040.0
Sweden,45877.786843,14224.991263,492574765,7386006,0.0,485188759.0
Switzerland,35722.2866,6277.5824999999995,407166713,5248673,89268383.0,312649657.0
Syria,26553.983225,29754.569844999998,13687952,864565,0.0,12823387.0
Taiwan*,18083.1,92323.0,4696347,213996,802428.0,3679923.0
Tajikistan,29650.943,54383.6643,8510581,61591,4615407.0,3833583.0
Tanzania,-4859.568364,26620.171186,4640881,120211,84988.0,4435682.0
Thailand,12108.834416,77057.308783,409609759,3876854,5909547.0,399823358.0
Timor-Leste,-6771.027571,95930.112257,4631005,23465,0.0,4607540.0
Togo,6576.6785,629.3224,8183354,79483,2307589.0,5796282.0
Tonga,-16159.577,-133676.22660000002,2363,0,0.0,2363.0
Trinidad and Tobago,8157.843400000001,-46712.767499999994,18788234,528391,3350829.0,14909014.0
Tunisia,25855.717671,7277.111737,224729121,7600567,61124558.0,156003996.0
Turkey,29729.3031,26890.637899999998,2730587288,24844205,919259007.0,1786484076.0
US,30520.0,-76300.0,18732739939,318120828,496971828.0,17917647283.0
Uganda,1047.853079,24637.479825000002,39788423,815289,8763537.0,30209597.0
Ukraine,36913.4822,23779.3528,1131334304,26313143,382658549.0,722362612.0
United Arab Emirates,17872.569988,41085.885134,279243153,841340,118844069.0,159557744.0
United Kingdom,275248.58302200004,-383030.468128,3293141659,66580858,3447801.0,3223113000.0
Uruguay,-24814.896399999998,-42549.3054,132674241,1825423,36788937.0,94059881.0
Uzbekistan,31571.025633,49278.554906,67588209,490612,28288270.0,38809327.0
Vanuatu,-11732.4221,127389.8696,1815,308,453.0,1054.0
Venezuela,4901.3594,-50807.9411,137101108,1536065,49871349.0,85693694.0
Vietnam,10726.501212000001,82615.50283699999,253491334,4894503,1261448.0,247335383.0
West Bank and Gaza,24379.5286,26882.931599999996,152740855,1596620,57608773.0,93535462.0
Winter Olympics 2022,30446.9046,88818.8462,11336,0,0.0,11336.0
Yemen,11866.730701,37018.004044,3362657,697395,772497.0,1892765.0
Zambia,-10021.163411,21249.040316,70817471,1108796,21852796.0,47855879.0
Zimbabwe,-14508.779193999999,22245.155891,43458978,1346202,8779035.0,33333741.0
